id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2384,Hyde Park - Walk to University of Chicago,2613,Rebecca,,Hyde Park,41.7879,-87.5878,Private room,95,3,192,2021-11-07,2.27,1,355,11,R17000015609
7126,Tiny Studio Apartment 94 Walk Score,17928,Sarah,,West Town,41.90166,-87.68021,Entire home/apt,65,2,425,2021-11-28,2.80,1,165,38,R18000034991
10945,The Biddle House (#1),33004,At Home Inn,,Lincoln Park,41.91196,-87.63981,Entire home/apt,127,4,39,2021-11-14,0.42,8,98,18,2120297
12140,Lincoln Park Guest House,46734,Sharon And Robert,,Lincoln Park,41.92357,-87.64947,Private room,329,2,7,2021-07-06,0.09,1,179,3,R20000055258
22362,Luxury in Chicago! 2BR/ 2Ba / Parking / BBQ,85811,Craig,,West Town,41.8973,-87.65889,Entire home/apt,105,121,9,2014-10-12,0.09,2,365,0,R17000018689
24833,Prime LincolnPark 1 Block Fullerton Express L Deck,101521,Red,,Lincoln Park,41.925961,-87.656364,Entire home/apt,60,32,38,2021-09-10,0.27,4,364,1,City registration pending
25879,2/1 One  Block to Fullerton L Red Line Deck & Yard,101521,Red,,Lincoln Park,41.92499,-87.65573,Entire home/apt,94,32,48,2021-09-23,0.34,4,250,1,City registration pending
28749,Quirky Bucktown Loft w/ Parking NO PARTIES,27506,Laurie,,Logan Square,41.92138,-87.67931,Entire home/apt,161,2,126,2021-12-05,0.94,1,334,58,R19000048161
37738,Andersonville - Perfect location!,162364,Mat And Randy,,Uptown,41.97303,-87.66567,Private room,110,3,250,2020-03-15,1.80,2,163,0,R20000059426
67940,Lovely 1BR Private Condo Steps From McCormick Pl!,335208,Aksh,,Near South Side,41.84576,-87.61871,Entire home/apt,85,2,46,2021-12-06,0.36,1,230,30,City registration pending
71930,"Rest, Relax and Explore",334241,Michael And Veronica,,West Town,41.89615,-87.67934,Private room,65,3,81,2021-11-11,0.63,2,365,11,R17000013986
84042,The Explorer Room,334241,Michael And Veronica,,West Town,41.89615,-87.67934,Private room,64,2,94,2021-11-24,0.72,2,360,15,R17000013986
85196,1 Bdm ~ Sunny top floor ~ Bucktown,357012,Marianna,,Logan Square,41.91541,-87.68083,Entire home/apt,75,32,39,2016-03-15,0.31,1,59,0,
145659,Trendy Roscoe Village 3BR/2BR walk to shops,683529,Joe,,North Center,41.94342,-87.68121,Entire home/apt,204,2,44,2021-11-07,0.59,23,354,10,2209272
145690,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,683529,Joe,,Lincoln Park,41.91289,-87.63864,Entire home/apt,249,2,75,2021-11-21,0.94,23,320,19,2083778
166667,Cozy Garden Studio,791089,Conrad,,Lake View,41.94217,-87.67182,Entire home/apt,125,3,88,2019-10-19,0.69,1,365,0,R17000015786
175511,1BR/1BA Suite in Chicago (3709-G1),837429,Petru,,Albany Park,41.96213,-87.72002,Entire home/apt,79,28,35,2021-09-11,0.28,2,197,2,R17000014896
189821,"Best in Chicago, private, amazing garden space",899757,Meighan,,Logan Square,41.92918,-87.70219,Entire home/apt,240,3,566,2021-12-05,4.54,1,245,48,R21000062936
198135,Darling Damen Dwelling (with bike if you like),85708,Sarah,,North Center,41.95888,-87.67776,Private room,35,3,182,2021-09-29,1.49,1,0,6,R19000037482
207218,Historic Pullman Artist Flat - Artists & Explorers,1019125,Jb,,Pullman,41.68843,-87.60712,Entire home/apt,90,2,276,2021-12-05,2.21,2,317,7,R21000073121
207351,Pullman Art Studio - One Person - Monthly Rental,1019125,Jb,,Pullman,41.68954,-87.60786,Entire home/apt,45,32,42,2021-09-01,0.34,2,143,3,R21000073121
250354,Close to Michigan Ave and parks,1311953,Ronald,,Near South Side,41.85923,-87.62198,Entire home/apt,170,180,39,2018-04-25,0.32,1,358,0,City registration pending
258253,Studio Apartment Unit 4,1358243,June,,West Ridge,42.0076,-87.6825,Entire home/apt,48,32,23,2021-08-22,0.19,1,257,2,398144   Chicago:   R190000050938
261509,You'll love Chicago! Guaranteed!,858008,Kassie,,Near North Side,41.90212,-87.63557,Entire home/apt,119,32,65,2021-10-02,0.55,1,364,3,City registration pending
264547,Steps From the Best Chicago Offers,1387948,Dominic,,Near West Side,41.88413,-87.64315,Entire home/apt,204,32,67,2021-10-17,0.57,1,362,2,City registration pending
289689,"30 Day+ Med student, interns & interim stays.",1376077,Killian,,Edgewater,41.97806,-87.65676,Private room,29,30,64,2021-10-31,0.53,1,293,3,R21000062931
289884,"Your Own Sunny, Quiet Home with Parking & Laundry",1500490,Hailey,,Logan Square,41.92063,-87.68353,Entire home/apt,189,1,81,2019-10-28,0.70,2,0,0,City registration pending
290155,15 Minutes to Everything.  Skyline View. Quiet.,1505878,Bob,,Bridgeport,41.82712,-87.64046,Entire home/apt,130,3,50,2020-03-17,0.41,2,0,0,2074659
312192,Winter Specials. You'll love this apartment.,1505878,Bob,,Bridgeport,41.82741,-87.63934,Entire home/apt,146,4,39,2020-03-15,0.45,2,0,0,2074660
345075,"Spacious, Vintage Hyde Park Apt.",1746524,Patricia,,Kenwood,41.80774,-87.59459,Private room,90,2,245,2021-12-14,2.07,1,338,13,R19000045796
350347,"Urban Chicago Loft, 1 blk to train w/ 2 pkg spots",845242,Mi Casa Su Casa Vacations,,Lake View,41.94107,-87.65492,Entire home/apt,149,3,599,2021-12-12,5.03,1,198,75,R21000062667
372929,Lux Urban 3BR/3BA Duplex + Parking!,1876597,The Adventurers,,West Town,41.89629,-87.65704,Entire home/apt,175,2,236,2021-12-12,2.13,2,352,20,2510875
404792,Eclectic West Town 2BR w/ Vintage Charm,1844352,Christine,,West Town,41.88947,-87.66933,Entire home/apt,126,5,196,2021-10-12,1.70,1,41,7,R18000024694
450648,Luxury Space - Come & Relax,2204693,Dl,,Loop,41.86765,-87.62271,Private room,119,3,38,2018-06-21,0.32,1,0,0,City registration pending
